Platform,Build Condition,Mean (s),Median (s),Std Dev (s),Min (s),Max (s),Sample N
GitHub Actions,Project A Cold,96.69872489161247,97.42132358868146,6.649117356302227,81.35131255411937,110.83005859290262,27
GitHub Actions,Project A Warm,42.82348486170592,42.368483127324424,4.77430328458244,36.316777031954075,52.774232216297364,30
GitHub Actions,Project A Parallel,38.63965587136467,38.9036540571919,4.257341366219484,29.435150835676296,46.33607412135585,30
GitHub Actions,Project B Cold,117.53987217267132,117.89356565657774,12.304420077778369,90.63535554936762,145.85009667748608,30
GitHub Actions,Project B Warm,57.45731998280706,57.75061048586562,6.793146538154076,42.68403845826542,69.73251932776702,30
GitHub Actions,Project B Parallel,52.906358884013805,53.92618345821918,5.9691952566744435,40.9677897874342,65.00620046625113,30
GitHub Actions,Project C Cold,241.68447224136332,236.36027537965137,18.960324753336128,209.14505793634225,283.7164191614019,30
GitHub Actions,Project C Warm,136.91109358796263,137.01327120081953,13.859468918721133,101.91312696096591,156.2416151801322,30
GitHub Actions,Project C Parallel,98.7998314377431,99.03489268637928,9.228334372498544,77.96412503601925,117.06877833002633,30
CircleCI,Project A Cold,87.19545826178496,86.78627435033695,6.5616490818113595,74.19176427473431,99.24745902865243,30
CircleCI,Project A Warm,35.28107234386322,35.80312187602872,3.6839081163950045,28.286865368013697,43.92622097378481,29
CircleCI,Project A Parallel,27.445984574667616,27.482962723772214,3.4587399331259547,19.78901621305981,34.08863255475974,30
CircleCI,Project B Cold,104.17861513295783,103.5315435434864,6.872192557467655,92.10182469149107,117.1662634044079,30
CircleCI,Project B Warm,48.48642906771733,47.977069398884936,5.935904094577107,37.21756173785661,62.4412386827625,30
CircleCI,Project B Parallel,38.50792389480825,37.908823853487064,3.5346332402867153,30.988701781735834,44.204503131424964,30
CircleCI,Project C Cold,216.13535394450798,214.5598242693723,9.232630118559838,198.2902953922811,235.41667783809504,26
CircleCI,Project C Warm,115.45169305415648,115.75864762135559,8.464958021032379,95.44535947028432,137.03382010131457,30
CircleCI,Project C Parallel,75.77887015274368,75.67815802570306,4.776015009141674,66.27729317731118,85.36926940163627,28
Jenkins,Project A Cold,141.78905422083062,143.216663341146,18.593516733215587,103.92796424117721,186.891823343537,30
Jenkins,Project A Warm,97.16093539221319,97.63905820416196,11.660245784372114,75.92886963991126,117.23378644311367,30
Jenkins,Project A Parallel,86.65053542844976,86.19092607515388,10.391981946438964,70.9087431989734,106.65421117012679,30
Jenkins,Project B Cold,173.8228791105306,171.80111392137184,25.638455956697022,116.75273524594759,235.6326877189797,30
Jenkins,Project B Warm,125.1100539096275,127.64274941329191,17.28828731480545,89.20609845106357,156.38205136313005,30
Jenkins,Project B Parallel,110.15607531134286,107.1180591821827,15.407307214244982,77.61603803390784,136.28986502811952,30
Jenkins,Project C Cold,373.25885779918474,354.32370498625016,60.30374853659115,276.4891644987994,485.9297627186366,30
Jenkins,Project C Warm,261.2035282837307,257.3552664425267,33.554895163224735,194.49178238384096,329.3827911922953,29
Jenkins,Project C Parallel,226.35482657878524,225.8391305258789,20.91132643682659,180.9826105526858,256.0497204623746,30
